element_id,row_type,parent_id,screen_id,screen,source_path,source_symbol_or_requirement,implementation_status,component_id,variant,states,light_dark_token_roles,layout_id,pattern_id,placement,interaction_contract,accessibility_contract,copy_key,english,romanian,spec_anchor,verification_scenario
C:D03-A01,source_action_group,,D03,Dependency review,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D03-A01,implemented,C11,Open blocking item,Open; staged; error; ineligible; committing; safe return,color.surface;color.canvas;color.textPrimary;color.textSecondary;color.outlineDecorative;color.icon;color.focus,L11,P01,"Named relationship/result row in D03 body, after identity within its labelled section; trailing chevron only when navigable.",Open the named actual dependency; return rechecks guards without auto-resolving anything.,Use C11 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d03_a01,Open blocking item,Deschide elementul care blochează,action-c-d03-a01,"T-C-D03-A01: invoke from D03; test success, cancellation, blocked state and retry against this exact effect."
C:D03-A02,source_action_group,,D03,Dependency review,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D03-A02,implemented,C06,Confirm named action,Open; staged; error; ineligible; committing; safe return,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L11,P10,Explicit labelled secondary action in the matching D03 section; infrequent management variants in named More menu per screen composition.,Use Archive/Retire/Remove wording for this subject; commit only with current guards/reason satisfied.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d03_a02,Confirm named action,Confirmă acțiunea indicată,action-c-d03-a02,"T-C-D03-A02: invoke from D03; test success, cancellation, blocked state and retry against this exact effect."
C:D03-A03,source_action_group,,D03,Dependency review,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D03-A03,implemented,C07,Cancel,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,Close review without changes; preserve records and blockers.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d03_a03,Cancel,Renunță,action-c-d03-a03,"T-C-D03-A03: invoke from D03; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A01,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A01,implemented,C07,Take photo,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D04 section; infrequent management variants in named More menu per screen composition.,Checkpoint original dataset/record target; launch external camera with scoped destination; validate/copy returned bytes before Saved.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a01,Take photo,Fotografiază,action-c-d04-a01,"T-C-D04-A01: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A02,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A02,implemented,C07,Choose photo,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D04 section; infrequent management variants in named More menu per screen composition.,System selected-media picker; copy only chosen validated image; inaccessible source offers retry or another image.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a02,Choose photo,Alege fotografie,action-c-d04-a02,"T-C-D04-A02: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A03,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A03,adopted/pending,C24,View / Previous / Next / Zoom in / Zoom out / Fit,Open; staged; error; ineligible; committing; safe return,color.photoMat;color.surface;color.textPrimary;color.textSecondary;color.outlineDecorative;color.selection;color.selectionOutline,L11,P14,"Photo/evidence group of D04; thumbnail opens viewer, labelled intake/selection actions adjacent.",Inspect retained image; gestures supplement individually labelled controls. Missing bytes show File missing.,Use C24 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a03,View / Previous / Next / Zoom in / Zoom out / Fit,Vizualizează / Anterior / Următor / Mărește / Micșorează / Încadrează,action-c-d04-a03,"T-C-D04-A03: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A04,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A04,adopted/pending (partial control exposed),C08,Caption,Open; staged; error; ineligible; committing; safe return,color.surface;color.textPrimary;color.textSecondary;color.outlineControl;color.focus;color.errorInk;color.disabledContainer;color.disabledText,L11,P04,Named Caption field/selector in D04 content order; error directly below; see individual field ledger.,Plain text maximum500 under adopted contract; clearly customer-visible only when included; Save follows parent mode.,Use C08 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a04,Caption,Legendă,action-c-d04-a04,"T-C-D04-A04: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A05,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A05,adopted/pending (partial control exposed),C13,Include in customer report,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L11,P04,Labelled choice/selection group named Include in customer report in D04; option toggles retain group/parent context.,Off for new working evidence; draft selection only; no private/access fields made selectable.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a05,Include in customer report,Include în raportul pentru client,action-c-d04-a05,"T-C-D04-A05: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A06,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A06,adopted/pending,C06,Remove / Replace,Open; staged; error; ineligible; committing; safe return,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L11,P10,Explicit labelled secondary action in the matching D04 section; infrequent management variants in named More menu per screen composition.,Allowed editable context only; confirm app-copy/reference effects. Never remove gallery originals or historical retained evidence.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a06,Remove / Replace,Elimină / Înlocuiește,action-c-d04-a06,"T-C-D04-A06: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A07,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A07,adopted/pending,C05,Use / Done,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Use / Done; conditional variants never shown simultaneously as competing primary actions.,Accept verified intake or close viewer. Explicit-form parent still must Save; autosave waits for acknowledgement.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a07,Use / Done,Folosește / Gata,action-c-d04-a07,"T-C-D04-A07: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D04-A08,source_action_group,,D04,Photo workspace,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D04-A08,adopted/pending,C07,Locate missing original,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D04 section; infrequent management variants in named More menu per screen composition.,Select replacement candidate and accept as original only on stored integrity match; otherwise correction route.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d04_a08,Locate missing original,Localizează originalul lipsă,action-c-d04-a08,"T-C-D04-A08: invoke from D04; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A01,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A01,adopted/pending,C13,Recipient: Site contact / Customer contact,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L11,P04,Labelled choice/selection group named Recipient: Site contact / Customer contact in D05; option toggles retain group/parent context.,"Choose one displayed source with actual values, not an invisible mixture of contacts.",Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a01,Recipient: Site contact / Customer contact,Destinatar: contactul locației / contactul clientului,action-c-d05-a01,"T-C-D05-A01: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A02,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A02,implemented,C07,Open dialer,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D05 section; infrequent management variants in named More menu per screen composition.,Pass the selected number to dialer; user initiates call. No connected/contact record implied.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a02,Open dialer,Deschide aplicația Telefon,action-c-d05-a02,"T-C-D05-A02: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A03,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A03,implemented,C07,Compose text message,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D05 section; infrequent management variants in named More menu per screen composition.,Open external SMS composer with reviewed minimal content; no automatic send.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a03,Compose text message,Compune mesaj text,action-c-d05-a03,"T-C-D05-A03: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A04,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A04,implemented,C07,Compose email,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D05 section; infrequent management variants in named More menu per screen composition.,Open external composer with recipient/subject/body; no send/receipt assertion.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a04,Compose email,Compune e-mail,action-c-d05-a04,"T-C-D05-A04: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A05,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A05,implemented,C07,Open map,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D05 section; infrequent management variants in named More menu per screen composition.,Hand off visible address; no in-app geocoding/location tracking; missing address links to edit.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a05,Open map,Deschide harta,action-c-d05-a05,"T-C-D05-A05: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A06,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A06,adopted/pending,C07,Copy phone / email / address / prepared message,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D05 section; infrequent management variants in named More menu per screen composition.,Copy exactly selected visible content on explicit action; clipboard warning for sensitive content.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a06,Copy phone / email / address / prepared message,Copiază telefonul / e-mailul / adresa / mesajul,action-c-d05-a06,"T-C-D05-A06: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A07,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A07,implemented,C07,Record contact outcome,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D05 section; infrequent management variants in named More menu per screen composition.,Open manual contact editor; external return never records an outcome automatically.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a07,Record contact outcome,Înregistrează rezultatul contactării,action-c-d05-a07,"T-C-D05-A07: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D05-A08,source_action_group,,D05,Contact and navigation handoff,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D05-A08,adopted/pending,C07,Close,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,Return to caller; no obligation/booking/follow-up changes.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d05_a08,Close,Închide,action-c-d05-a08,"T-C-D05-A08: invoke from D05; test success, cancellation, blocked state and retry against this exact effect."
C:D06-A01,source_action_group,,D06,Reasoned date/state change,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D06-A01,implemented,C05,Confirm named change,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Confirm named change; conditional variants never shown simultaneously as competing primary actions.,Commit displayed before/after date or state and required reason; fulfillment is not inferred.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d06_a01,Confirm named change,Confirmă modificarea indicată,action-c-d06-a01,"T-C-D06-A01: invoke from D06; test success, cancellation, blocked state and retry against this exact effect."
C:D06-A02,source_action_group,,D06,Reasoned date/state change,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D06-A02,adopted/pending,C13,Keep current value,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L11,P04,Labelled choice/selection group named Keep current value in D06; option toggles retain group/parent context.,Explicitly retain existing date even when overdue; do not recalculate silently.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d06_a02,Keep current value,Păstrează valoarea curentă,action-c-d06-a02,"T-C-D06-A02: invoke from D06; test success, cancellation, blocked state and retry against this exact effect."
C:D06-A03,source_action_group,,D06,Reasoned date/state change,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D06-A03,implemented,C07,Cancel,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,No state/date/history change; discard only this uncommitted proposal.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d06_a03,Cancel,Renunță,action-c-d06-a03,"T-C-D06-A03: invoke from D06; test success, cancellation, blocked state and retry against this exact effect."
C:D06-A04,source_action_group,,D06,Reasoned date/state change,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D06-A04,implemented,C07,Close,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,Read-only historical variant only; cannot replay or undo historical transition.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d06_a04,Close,Închide,action-c-d06-a04,"T-C-D06-A04: invoke from D06; test success, cancellation, blocked state and retry against this exact effect."
C:D07-A01,source_action_group,,D07,Close or reopen follow-up,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D07-A01,implemented,C05,Resolve,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Resolve; conditional variants never shown simultaneously as competing primary actions.,"Require outcome/date; standalone writes task, review-child stages until parent commit; no plan fulfillment.",Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d07_a01,Resolve,Marchează ca rezolvată,action-c-d07-a01,"T-C-D07-A01: invoke from D07; test success, cancellation, blocked state and retry against this exact effect."
C:D07-A02,source_action_group,,D07,Close or reopen follow-up,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D07-A02,implemented,C06,Cancel follow-up,Open; staged; error; ineligible; committing; safe return,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L11,P10,Explicit labelled secondary action in the matching D07 section; infrequent management variants in named More menu per screen composition.,"Reason required; cancel only this follow-up, not proof of repair or visit cancellation.",Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d07_a02,Cancel follow-up,Anulează acțiunea de urmărire,action-c-d07-a02,"T-C-D07-A02: invoke from D07; test success, cancellation, blocked state and retry against this exact effect."
C:D07-A03,source_action_group,,D07,Close or reopen follow-up,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D07-A03,implemented,C05,Reopen,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Reopen; conditional variants never shown simultaneously as competing primary actions.,Require reason/new date and current active context; retain previous closure history.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d07_a03,Reopen,Redeschide,action-c-d07-a03,"T-C-D07-A03: invoke from D07; test success, cancellation, blocked state and retry against this exact effect."
C:D07-A04,source_action_group,,D07,Close or reopen follow-up,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D07-A04,implemented,C07,Back,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,Discard child changes or return unchanged; never close task before parent commit.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d07_a04,Back,Înapoi,action-c-d07-a04,"T-C-D07-A04: invoke from D07; test success, cancellation, blocked state and retry against this exact effect."
C:D08-A01,source_action_group,,D08,Template item editor,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D08-A01,implemented,C13,Type,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L11,P04,Labelled choice/selection group named Type in D08; option toggles retain group/parent context.,Choose Status/Text/Number; show applicable unit configuration; historical answers unaffected.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d08_a01,Type,Tip,action-c-d08-a01,"T-C-D08-A01: invoke from D08; test success, cancellation, blocked state and retry against this exact effect."
C:D08-A02,source_action_group,,D08,Template item editor,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D08-A02,implemented,C14,Required response,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.surfaceSubtle;color.outlineControl;color.textPrimary;color.textSecondary;color.errorInk;color.focus,L11,P01,Explicit labelled secondary action in the matching D08 section; infrequent management variants in named More menu per screen composition.,"Required for Reviewed checklist, not permission to block legitimate incomplete final records.",Use C14 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d08_a02,Required response,Răspuns obligatoriu,action-c-d08-a02,"T-C-D08-A02: invoke from D08; test success, cancellation, blocked state and retry against this exact effect."
C:D08-A03,source_action_group,,D08,Template item editor,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D08-A03,adopted/pending,C05,Save item,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Save item; conditional variants never shown simultaneously as competing primary actions.,Validate and return item to template editor buffer; parent Save publishes revision.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d08_a03,Save item,Salvează elementul,action-c-d08-a03,"T-C-D08-A03: invoke from D08; test success, cancellation, blocked state and retry against this exact effect."
C:D08-A04,source_action_group,,D08,Template item editor,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D08-A04,adopted/pending,C07,Cancel,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,"Discard this item's edits, retaining previous staged item in parent.",Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d08_a04,Cancel,Renunță,action-c-d08-a04,"T-C-D08-A04: invoke from D08; test success, cancellation, blocked state and retry against this exact effect."
